state,anchor_id,existing_ccss_id,verdict,confidence,recommended_ccss_id,rationale
SD,5.NF.B.4,5.NF.B.4,confirmed,99.0,5.NF.B.4,"The tag has perfect lesson overlap (1.0, with all 4 lessons shared) and identical standard text, ranking first among all candidates. All evidence strongly supports this alignment."
ME,12.5.NF.B.5a,5.NF.B.5.a,confirmed,95.0,5.NF.B.5.a,"The tag text is identical to the CCSS standard text, and the top-5 candidates show 5.NF.B.5.a has a 1.0 lesson overlap (7 of 7 lessons shared) with the highest embedding similarity (0.875). The zero overlap shown in the tag evaluation row appears to be a data artifact related to the state having 0 lessons in that context, while the candidate row correctly shows full overlap."
KY,6.SP.4,6.SP.B.4,confirmed,95.0,6.SP.B.4,"The tag being evaluated is 6.SP.B.4, which has a perfect lesson overlap (1.0) with the state standard when 9 lessons are available (as shown in the top-5 candidates section), and the text of the state standard is nearly identical to the CCSS standard text. The 0.0 lesson overlap shown for the tag being evaluated appears to be a data artifact where state has 0 lessons in that row, but the top-5 candidates clearly show 9 shared lessons between this state standard and 6.SP.B.4, making this the strongest possible match."
MS,7.G.3,7.G.A.3,confirmed,99.0,7.G.A.3,"The tag has a perfect lesson overlap of 1.0 (all 2 lessons shared), the highest embedding similarity score of 0.888, identical text between the state standard and CCSS standard, and ranks #1 among all candidates — all evidence strongly confirms this tag."
SC,7.PAFR.2.2,7.EE.B.4,likely_incorrect,80.0,7.EE.A.1,"The tag being evaluated (7.EE.B.4) has 0% lesson overlap and doesn't appear in the top-5 candidates, indicating no curriculum alignment. Meanwhile, the other existing tag 7.EE.A.1 shows 100% lesson overlap (6/6 shared lessons), making it a far stronger match. The state standard focuses on writing and evaluating expressions (not constructing equations/inequalities to solve problems as 7.EE.B.4 describes), and 7.EE.A.1 better captures that intent."
NJ,1.G.A.3,1.G.A.3,confirmed,99.0,1.G.A.3,"The tag shows perfect lesson overlap (1.0, all 4 lessons shared) and the state standard text is virtually identical to the CCSS 1.G.A.3 text, with the highest embedding similarity (0.855) among all candidates. All evidence strongly supports this tag."
AL,6.NSO.11.c,6.NS.C.6.b,confirmed,97.0,6.NS.C.6.b,"The lesson overlap is perfect (1.0, all 4 lessons shared), and the CCSS 6.NS.C.6.b text directly addresses reflections of ordered pairs across axes, which matches the state standard's focus on identifying (a,b) and (-a,b) as reflections across the y-axis. No other candidate comes close in lesson overlap."
MO,8.NS.A.1.c,8.NS.A.1,confirmed,85.0,8.NS.A.1,"The lesson overlap of 0.6667 (2 out of 2 state lessons shared) is strong evidence that 8.NS.A.1 is the correct match, as the CCSS standard explicitly covers converting repeating decimal expansions into rational numbers, directly matching the state standard's content. No other candidate shows any lesson overlap, making 8.NS.A.1 the clear best fit despite its moderate embedding similarity score."
ND,2.DPS.D.2,2.MD.D.9,confirmed,97.0,2.MD.D.9,"The lesson overlap is perfect (1.0, with both shared lessons matching), and the state standard text closely mirrors 2.MD.D.9's content about generating data and creating line plots with whole-number units at grade 2. No other candidate comes close on lesson overlap."
NJ,6.SP.A.1,6.SP.A.1,confirmed,99.0,6.SP.A.1,"The tag shows perfect lesson overlap (1.0, all 3 lessons shared) with 6.SP.A.1, and the state standard text is essentially identical to the CCSS 6.SP.A.1 text. No other candidate comes close in either lesson overlap or semantic similarity."
RI,8.G.A.1.c,8.G.A.1.c,confirmed,99.0,8.G.A.1.c,"The lesson overlap is perfect (1.0, all 6 lessons shared), and the state standard text 'Parallel lines are transformed to parallel lines' is essentially identical in meaning to the CCSS text 'Parallel lines are taken to parallel lines,' with the highest embedding similarity among all candidates. All evidence strongly supports this tag."
AR,K.DA.1,K.MD.B.3,confirmed,95.0,K.MD.B.3,"The lesson overlap is perfect (1.0, with all 8 lessons shared), which is the strongest signal available and strongly confirms this alignment. The state standard's focus on sorting and organizing data into categories at Kindergarten level aligns well with K.MD.B.3's classification and sorting content."
AZ,1.OA.A.1,1.OA.A.1,confirmed,99.0,1.OA.A.1,"The lesson overlap is perfect (1.0, with all 25 lessons shared), and the state standard text is nearly identical to CCSS 1.OA.A.1. No other candidate comes close in either lesson overlap or semantic similarity."
PA,2.1.5.B.1,5.NBT.A.4,,,,"Unparseable response: Looking at the evidence:

1. **Lesson overlap**: The top-5 candidates table shows 5.NBT.A.4 has a lesson_overlap_pct of 0.1667 (2 shared lessons out of 12 state lessons / 2 CCSS lessons). However, the"
IA,8.G.B.6,8.G.B.6,confirmed,99.0,8.G.B.6,"The tag shows perfect lesson overlap (1.0, all 3 lessons shared) and the highest embedding similarity (0.842) among all candidates, with identical text between the state standard and CCSS standard. All evidence strongly supports this tag."
IA,6.EE.A.1,6.EE.A.1,confirmed,99.0,6.EE.A.1,"The tag shows perfect lesson overlap (1.0, all 5 lessons shared) and the highest embedding similarity (0.868) among all candidates, with identical standard text. All evidence strongly supports this tag."
WI,6.EE.A.1,6.EE.A.1,confirmed,90.0,6.EE.A.1,"The tag being evaluated is 6.EE.A.1, which has identical text to the state standard and ranks #1 in similarity candidates with a 0.902 embedding score. Although the lesson overlap for this specific tag shows 0 (due to the state having 0 lessons assigned), the top-5 candidate data shows 6.EE.A.1 has 5 shared lessons when the state standard is treated with 5 lessons, confirming the alignment is correct. The zero lesson count in the tag evaluation appears to be a data artifact rather than evidence of misalignment."
MS,6.G.2,6.G.A.2,confirmed,99.0,6.G.A.2,"The state standard text is virtually identical to CCSS 6.G.A.2, and the lesson overlap is perfect (1.0) with all 5 lessons shared, making this an unambiguous match. No other candidate comes close in either text similarity or lesson overlap."
MA,8.G.B.8,8.G.B.8,confirmed,99.0,8.G.B.8,"The tag has a perfect lesson overlap of 1.0 (all 2 lessons shared) and identical text to the CCSS standard, ranking first in both similarity and lesson overlap. All evidence strongly supports this alignment."
WV,4.3,4.OA.A.3,,,,"Unparseable response: The state standard text is essentially identical to 4.OA.A.3, and the top-5 candidates show 4.OA.A.3 with 100% lesson overlap (9/9 shared lessons) and 0.909 embedding similarity. The confusion in the "
LA,7.SP.C.7.a,7.SP.C.7.a,confirmed,99.0,7.SP.C.7.a,"The lesson overlap is perfect (1.0, all 2 lessons shared), the state standard text is nearly identical to the CCSS text, and 7.SP.C.7.a ranks #1 in similarity with no competing candidates showing any lesson overlap."
ME,12.5.NF.B.7c,5.NF.B.7.c,,,,"Unparseable response: Looking at the evidence:

1. **Lesson overlap**: The tag being evaluated shows 0.0 lesson overlap (state has 0 lessons, CCSS has 8, 0 shared). However, the top-5 candidates table shows that when the s"
NC,3.MD.5,3.MD.C.5.b,,,,"Unparseable response: Looking at the evidence:

The state standard 3.MD.5 describes ""finding the area of a rectangle by tiling without gaps or overlaps and counting unit squares."" 

**Lesson overlap analysis (strongest sig"
ND,1.AR.OA.4,1.OA.B.3,likely_incorrect,82.0,1.OA.A.1,"The tag being evaluated (1.OA.B.3, about properties of operations) has only 12.8% lesson overlap and doesn't appear in the top-5 candidates, suggesting it's a poor match. The state standard is about solving word problems with addition (including three numbers and unknowns) within 20, which aligns far better with 1.OA.A.1 (75.9% lesson overlap, 22 shared lessons) — the strongest lesson-overlap signal among all candidates."
KY,4.NF.7.c,4.NF.C.7,,,,"Unparseable response: Looking at the evidence:

1. **Lesson overlap**: 0.0% - the state standard has 0 lessons, so no overlap is possible. This means lesson overlap can't help distinguish candidates.

2. **Text analysis**:"
MS,K.CC.6,K.CC.C.6,confirmed,99.0,K.CC.C.6,"The lesson overlap is perfect (1.0, all 10 lessons shared) and the text is nearly identical between the state standard and CCSS K.CC.C.6, with the highest embedding similarity score (0.818) among all candidates. All evidence strongly supports this tag."
MS,4.OA.1,4.OA.A.1,confirmed,99.0,4.OA.A.1,"The tag shows perfect lesson overlap (1.0, all 5 lessons shared) and the highest embedding similarity (0.909) among all candidates. The state standard text is essentially identical to 4.OA.A.1, making this an unambiguous match."
RI,8.F.A.3,8.F.A.3,confirmed,99.0,8.F.A.3,"The lesson overlap is perfect (1.0, all 3 lessons shared), the state standard text is nearly identical to the CCSS text, and 8.F.A.3 ranks #1 in similarity candidates with an embedding score of 0.85. All evidence strongly supports this tag."
RI,4.NBT.B.4,4.NBT.B.4,confirmed,99.0,4.NBT.B.4,"The tag has perfect lesson overlap (1.0, all 7 lessons shared) and the state standard text is identical to the CCSS text, with the highest embedding similarity among all candidates. All evidence strongly supports this tag."
WY,4.MD.I.3,4.MD.A.3,confirmed,99.0,4.MD.A.3,"The lesson overlap is perfect (1.0, all 5 lessons shared), the state standard text is virtually identical to 4.MD.A.3, and it ranks first in both embedding similarity and lesson overlap among all candidates."
ND,7.NO.NS.1,6.NS.C.7.c,confirmed,82.0,6.NS.C.7.c,"The state standard's text ('absolute value of a number as its distance from zero on a number line') directly mirrors the language of 6.NS.C.7.c, and this CCSS standard ranks #1 in both embedding similarity (0.598) and is the only candidate with any lesson overlap (0.2, 1 shared lesson). While the lesson overlap is modest, it is the strongest among all candidates, supporting this as the correct tag."
IA,4.NF.B.3.c,4.NF.B.3.c,confirmed,99.0,4.NF.B.3.c,"The tag shows perfect lesson overlap (1.0, all 5 lessons shared) and the state standard text is identical to the CCSS text, with the highest embedding similarity score among all candidates (0.835). All evidence strongly supports this alignment."
KY,1.MD.2,1.MD.A.2,confirmed,95.0,1.MD.A.2,"The state standard text is nearly identical to 1.MD.A.2, and the top-5 candidate data shows 100% lesson overlap (9 of 9 shared lessons) between this state standard and 1.MD.A.2, making this an extremely strong match. The zero lesson overlap shown in the tag evaluation row appears to be a data artifact (state has 0 lessons listed), while the candidate row correctly shows 9 shared lessons."
SC,8.MGSR.3.7,8.G.A.3,confirmed,92.0,8.G.A.3,"The state standard text nearly exactly matches 8.G.A.3's text (both describe effects of dilations, translations, rotations, and reflections on 2D figures using coordinates), and the lesson overlap of 42.86% (6 of 6 state lessons shared) is strong, with 8.G.A.3 ranking first in both similarity and lesson overlap by a wide margin over all other candidates."
AZ,4.NF.B.4b,4.NF.B.4.b,confirmed,99.0,4.NF.B.4.b,"The lesson overlap is perfect (1.0) with all 3 lessons shared between the state standard and 4.NF.B.4.b, and the state standard text is essentially identical in content to the CCSS standard text. No other candidate comes close in lesson overlap."
AZ,5.MD.C.5,5.MD.C.5,likely_correct,62.0,5.MD.C.5,"The text match between the state standard and 5.MD.C.5 is nearly identical (embedding similarity 0.906), and it ranks #1 among candidates. However, the lesson overlap is 0.0 (CCSS 5.MD.C.5 has no lessons mapped), while sub-standards like 5.MD.C.5.a and 5.MD.C.5.c do show lesson overlap with the state standard's lessons, suggesting the parent standard tag may be correct conceptually but lacks lesson data — likely because lessons are mapped to sub-standards rather than the parent."
WY,7.SP.I.7C,7.SP.C.7,likely_correct,62.0,7.SP.C.7.b,"The text of 7.SP.C.7 is nearly identical to the state standard, giving it strong semantic support (0.764 embedding similarity) and top-1 ranking. However, lesson overlap is 0.0 (CCSS 7.SP.C.7 has no lessons mapped), while 7.SP.C.7.b has 50% lesson overlap with the state standard's single lesson, suggesting the actual curriculum content aligns more specifically with the sub-standard 7.SP.C.7.b. The parent standard 7.SP.C.7 is technically correct as an umbrella tag, but 7.SP.C.7.b may be the more precise match given lesson evidence."
SC,K.NR.2.3,K.CC.B.4.a,likely_incorrect,72.0,K.CC.B.4.b,"The state standard SC K.NR.2.3 emphasizes counting up to 20 objects, writing numerals, and conservation of number (stating count without recounting after rearrangement), which aligns most closely with K.CC.B.4.b ('the number of objects is the same regardless of their arrangement') and K.CC.B.5. K.CC.B.4.a focuses narrowly on one-to-one correspondence during counting, which is only a minor component of this standard; its lesson overlap (0.1481) is also notably lower than K.CC.B.4.b (0.2593) and K.CC.B.5 (0.4643). K.CC.B.4.b best captures the 'rearrangement without recounting' element, though K.CC.B.5 has the strongest lesson overlap overall."
CO,7.NS.A.1.c,7.NS.A.1.c,confirmed,99.0,7.NS.A.1.c,"The tag shows perfect lesson overlap (1.0, all 5 lessons shared) and is ranked #1 in similarity candidates. The state standard text is essentially identical to the CCSS standard text, with only a minor word difference ('Demonstrate' vs 'Understand')."
AL,K.DA.15,K.MD.B.3,confirmed,99.0,K.MD.B.3,"The lesson overlap is perfect (1.0, all 8 lessons shared), and the state standard text is nearly identical to K.MD.B.3, differing only by the addition of 'of 10 or fewer' as a minor constraint. All evidence strongly supports this tag."
ND,K.NO.CC.1,K.CC.A.1,confirmed,90.0,K.CC.A.1,"K.CC.A.1 has the highest lesson overlap at 54.55% (12 of 13 lessons shared), ranking first among all candidates, and the state standard's text directly maps to counting to 100 by ones and tens. The additional tag K.CC.A.2 appropriately captures the 'count forward from any given number' portion, making this a legitimate many-to-one alignment."
AZ,3.OA.C.7,3.OA.C.7,confirmed,98.0,3.OA.C.7,"The lesson overlap of 91.67% (11 of 11 state lessons shared) is extremely strong, and 3.OA.C.7 ranks first among all candidates with no close competitors. The state standard text is essentially identical in content to the CCSS standard, covering fluent multiplication and division within 100 and memorization of products."
AK,8.EE.8.b,8.EE.C.8.b,confirmed,99.0,8.EE.C.8.b,"The lesson overlap is perfect (1.0, all 13 lessons shared), and the state standard text is nearly identical to 8.EE.C.8.b, with the highest embedding similarity score (0.825) among all candidates. Both signals strongly confirm this tag."
